Business.Name,NAISC,Specific Industry,Industry
FARMERS CO-OP OIL CO,424510,Grain and Field Bean Merchant Wholesalers,Food
Collins Aerospace,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Manufacturing
Itos Truck Wash,811192,Car Washes,Retail
C & M Rucks Dairy inc.,112120,Dairy Cattle and Milk Production,Food
Fedex Ground Linehaul,492110,Couriers and Express Delivery Services,Freight
ROI Biologicals,325414,Biological Product (except Diagnostic) Manufacturing,Manufacturing
Worthen Industries Inc.,325211,Plastics Material and Resin Manufacturing,Manufacturing
DFA Dairy Farmers of America,424520,Livestock Merchant Wholesalers,Food
ElecTec Inc,541330,Engineering Services,Engineering
FEDEX LINEHAUL,492110,Couriers and Express Delivery Services,Freight
LaRocque Trucking,484110,"General Freight Trucking, Local",Freight
Ag View FS,424510,Grain and Field Bean Merchant Wholesalers,Food
Zulu24 Inc.,541512,Computer Systems Design Services,IT
Mortenson Bros Farms,111998,All Other Miscellaneous Crop Farming,Farming
Keystone Water Company,221310,Water Supply and Irrigation Systems,Utilities
Felix Valdez,441110,New Car Dealers,Retail
Aquasan,221310,Water Supply and Irrigation Systems,Utilities
Service Equipment Co Inc,423830,Industrial Machinery and Equipment Merchant Wholesalers,Wholesale
D&D Ingredients LLC,311119,Other Animal Food Manufacturing,Food
Control Union USA Inc.,541380,Testing Laboratories,Professional Services
GEM PUBLICATIONS INC,511120,Periodical Publishers,Publishing
INDYKUSA,311612,Meat Processed from Carcasses,Food
"Florida Purchasing Agency, Inc.",541612,Human Resources Consulting Services,Consulting
CAROLINA SCALES INC,333997,Scale and Balance Manufacturing,Manufacturing
Gemsa Enterprises,424690,Other Chemical and Allied Products Merchant Wholesalers,Wholesale
CRYOBIOLOGY,541714,Research and Development in Biotechnology (except Nanobiotechnology),Research and Development
Kar Services,541614,"Process, Physical Distribution, and Storage Consulting Services",Consulting
PVS MINIBULK,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,Manufacturing
Brenntag Southwest,424690,Other Chemical and Allied Products Merchant Wholesalers,Wholesale
Access Corp,518210,"Data Processing, Hosting, and Related Services",IT
Tyson Foods,311615,Poultry Processing,Food
O’Flynn’s Transportation,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",Freight
Strohschein Inc,311613,Rendering and Meat Byproduct Processing,Food
Quality mine control inc,541380,Testing Laboratories,Professional Services
BMB,551112,Offices of Other Holding Companies,Business Services
GEMSA OILS,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Wholesale
Brenntag Great Lakes,424690,Other Chemical and Allied Products Merchant Wholesalers,Wholesale
Chinook Medical Gear,339113,Surgical Appliance and Supplies Manufacturing,Manufacturing
Mediterranean Delight,311412,Frozen Specialty Food Manufacturing,Food
JCM Energy Plus LLC,541690,Other Scientific and Technical Consulting Services,Consulting
Nexleaf Cultivation LLC,111419,Other Food Crops Grown Under Cover,Farming
Norfolk Southern,482111,Line-Haul Railroads,Freight
Bonei Olam,813311,Human Rights Organizations,Social Services
Metro Ports,488310,Port and Harbor Operations,Freight
URTR,541614,"Process, Physical Distribution, and Storage Consulting Services",Consulting
Waste Connections,562920,Materials Recovery Facilities,Waste Management
